,accuracy,precison,recall,f1_score
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454
Decision Tree,0.775408670931059,0.597972972972973,0.4732620320855615,0.5283582089552239
Random Forest,0.7910447761194029,0.6408450704225352,0.48663101604278075,0.5531914893617021
SVM,0.798862828713575,0.6408668730650154,0.553475935828877,0.593974175035868
KNN,0.7718550106609808,0.5730027548209367,0.5561497326203209,0.5644504748982361
Naive Bayes,0.7356076759061834,0.5017857142857143,0.7513368983957219,0.6017130620985011
